ID;Semestre;Sede;Programa;En su rol como estudiante ¿Que tan identificado se siente con la mision y la vision de la Institucion?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Proyecto Educativo del Programa?;¿ El Proyecto Educativo del Programa garantiza el funcionamiento de su programa?; ¿El numero de docentes es suficientes para satisfacer las necesidades academicas de su programa?;¿La relacion entre la cantidad de estudiantes de su programa y los recursos académicos (libros, material de apoyo, bases de datos, guías de talleres, asesorías)  disponibles es la adecuada?;¿La relación entre la cantidad de estudiantes de su programa y los recursos físicos( laboratorios, salas de cómputo, bibliotecas, aulas de clase, equipos audiovisuales) disponibles es la adecuada?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Reglamento Estudiantil?;¿Cuál es el medio a través del cual consulta el Reglamento Estudiantil?;¿Conoce los comités directivos del programa en los que puede participar como estudiante?;¿La participación de los estudiantes en los comités del programa ha contribuido con la toma decisiones?;¿Los docentes del programa cumplen con las expectativas en cuanto a experiencia para desarrallar las actividades académicas?;¿ Considera que la aplicación de las políticas en cuanto a la permanencia de sus docentes,  es?:;En el desarrollo de sus cursos, ¿ Usted utiliza materiales de apoyo o guías producidas por sus profesores? Si su respuesta es afirmativa, continúe con la siguiente pregunta;La calidad de los materiales de apoyo producidos por los profesores para el desarrollo de las actividades académicas, es:;De acuerdo con la metodología del programa, la pertinencia (adecuado) de los materiales de apoyo producidos por sus profesores para llevar a cabo las actividades académicas, es:;¿Conoce la reglamentación que regula la flexibilidad (entendida como movilidad, créditos optativos, créditos homologables, cursos electivos, alternativas de opción de grado) de su  plan de estudios?;¿ La reglamentación que regula la flexibilidad de su plan de estudios es eficaz y se aplica adecuadamente?;¿Considera que las estrategias llevadas a cabo para fomentar la interdisciplinariedad (relación de sus actividades académicas con otras disciplinas o áreas de conocimiento), han contribuido al mej...;¿ Existe correspondencia entre los métodos de enseñanza y aprendizaje que se emplean en su programa con los contenidos del Plan de Estudio?;¿Conoce las condiciones y exigencias académicas de permanencia y graduación ( entendidas como las estrategias que permitan al estudiante la culminación de sus estudios) de su programa?;¿Las estrategias que implementa el programa para que sus estudiantes finalicen su plan de estudios son adecuadas?;¿La reglamentación que regula la evaluación de su desempeño académico se divulga y se aplica adecuadamente?;¿ La evaluación que se realiza de su desempeño académico es coherente con los métodos pedagógicos (entendidos como estrategias de enseñanza)  empleados por los profesores?;¿El sistema de evaluación académica utilizado para valorar su desempeño académico le permite adquirir competencias, actitudes, conocimientos, capacidades y habilidades propias del programa?;¿Los procesos de evaluación y autoevaluación del programa han contribuido al mejoramiento de la calidad del mismo?;¿Conoce los programas que brinda Bienestar Institucional a la comunidad académica?;¿Las estrategias de divulgación de los programas que brinda Bienestar Institucional a la comunidad académica son efectivas?;¿Los servicios y actividades que brinda Bienestar Institucional han contribuido a su desarrollo personal?;¿Las orientaciones dadas en cuanto a los procesos administrativos que desarrolla su programa permiten cumplir a cabalidad con las funciones de docencia, investigación y proyección social?;¿La página web de la Institución es un buen medio para mantenerse informado?;¿Con que frecuencia consulta la página web de la Institución para mantenerse informado sobre temas de interés?;¿Cómo califica la efectividad de los sistemas de información académica (correos electrónicos, plataformas virtuales, bibliotecas digitales, etc.) de su Programa:;¿Cómo califica la efectividad de los procesos comunicativos ( medios utilizados para informar al estudiante) al interior de su Programa:;¿Cómo califica la calidad del acceso a los sistemas de comunicación e información del programa?;¿Cómo califica la orientación académica que ofrecen los directivos a su programa?;¿Cómo califica el liderazgo que demuestran los directivos de su programa?
1129;8;Popayan;Comunicacion Social;En cierta parte;NO;Sin respuesta;Nada;Nada;Nada;NO;Sin respuesta;SI;En cierta parte;En cierta parte;Regular;SI;Regular;Regular;SI;Nada;En cierta parte;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Nada;En cierta parte;Nada;Algunas veces ;Mala;Mala;Mala;Buena;Regular
1130;1;Popayan;Psicologia;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Excelente;Excelente;Buena;Buena
1131;2;Popayan;Psicologia;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;Siempre;Buena;Buena;Buena;Buena;Buena
1132;2;Popayan;Trabajo Social;En gran parte;SI;Totalmente;En cierta parte;En gran parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;Totalmente;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Regular
1133;6;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;SI;En cierta parte;En gran parte;Buena;SI;Excelente;Buena;SI;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Casi siempre;Regular;Buena;Buena;Buena;Buena
1134;2;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En cierta parte;En gran parte;Totalmente;En gran parte;En cierta parte;En cierta parte;En cierta parte;Nunca;Excelente;Excelente;Buena;Buena;Buena
1135;9;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;Nada;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;Nada;Mala;NO;Sin respuesta;Regular;NO;Sin respuesta;Nada;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;Nada;Nada;Nada;Nada;Nada;Nada;Algunas veces ;Mala;Mala;Mala;Regular;Mala
1136;2;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
1137;1;Popayan;Contaduria Publica;En gran parte;SI;En gran parte;En cierta parte;En cierta parte;Nada;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Excelente;Buena
1138;8;Popayan;Trabajo Social;Totalmente;SI;En gran parte;Totalmente;En gran parte;En gran parte;SI;Carteleras;SI;En gran parte;En gran parte;Buena;SI;Regular;Excelente;SI;En cierta parte;En gran parte;En cierta parte;SI;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;Totalmente;Casi siempre;Buena;Excelente;Regular;Buena;Buena
1139;8;Popayan;Ingenieria de Sistemas;En gran parte;SI;Totalmente;En gran parte;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Excelente;SI;Buena;Regular;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Excelente;Buena;Buena
1140;8;Popayan;Ingenieria de Sistemas;En gran parte;SI;En cierta parte;Nada;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Regular;Regular;NO;Sin respuesta;En cierta parte;En cierta parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Regular;Regular;Buena;Buena
1141;8;Popayan;Trabajo Social;Totalmente;NO;Sin respuesta;En cierta parte;En cierta parte;Nada;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;NO;Sin respuesta;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;En gran parte;En gran parte;Nada;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Regular;Buena;Buena;Buena
1142;8;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;Totalmente;En gran parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;En gran parte;Excelente;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Totalmente;Casi siempre;Excelente;Excelente;Buena;Buena;Buena
1143;8;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Regular;NO;Sin respuesta;En gran parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Regular;Buena;Buena
1144;7;Popayan;Ingenieria de Sistemas;En cierta parte;SI;En cierta parte;Nada;En cierta parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1145;9;Popayan;Ingenieria de Sistemas;Nada;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;SI;Totalmente;En gran parte;Totalmente;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;En gran parte;Nada;En gran parte;Nada;En gran parte;En cierta parte;Nunca;Excelente;Buena;Excelente;Buena;Excelente
1146;2;Popayan;Ingenieria de Sistemas;En cierta parte;SI;En cierta parte;Totalmente;En cierta parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;En cierta parte;Regular;SI;Buena;Buena;SI;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
1147;1;Popayan;Ingenieria de Sistemas;En gran parte;SI;En gran parte;Totalmente;En gran parte;En cierta parte;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;En cierta parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Excelente;Excelente;Excelente;Buena;Buena
1148;2;Popayan;Trabajo Social;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;En cierta parte;Nada;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Regular;Regular
1149;6;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;Totalmente;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;SI;Otros;SI;Totalmente;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;En gran parte;Siempre;Excelente;Excelente;Buena;Buena;Buena
1150;6;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;SI;Medios impresos;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Buena;Regular;Buena;Buena;Buena
1151;6;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
1152;9;Popayan;Administracion de Empresas Agropecuarias;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1153;7;Popayan;Ingenieria de Sistemas;Totalmente;SI;En gran parte;En gran parte;En gran parte;En gran parte;SI;Pagina web institucional;SI;En gran parte;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Siempre;Buena;Buena;Buena;Buena;Buena
1154;6;Popayan;Ingenieria de Sistemas;En gran parte;SI;Totalmente;En gran parte;En gran parte;Totalmente;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;Totalmente;En gran parte;SI;Totalmente;En gran parte;Totalmente;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
1155;5;Popayan;Psicologia;En cierta parte;SI;En cierta parte;Totalmente;Nada;Nada;NO;Sin respuesta;SI;En cierta parte;Totalmente;Regular;SI;Buena;Regular;NO;Sin respuesta;En cierta parte;Totalmente;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Regular;Regular;Buena;Buena;Buena
1156;6;Popayan;Ingenieria de Sistemas;En gran parte;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;Totalmente;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1157;6;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;En gran parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1158;9;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;Totalmente;SI;En cierta parte;En gran parte;Totalmente;Totalmente;En gran parte;En cierta parte;En gran parte;Totalmente;En gran parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Excelente
1159;4;Popayan;Trabajo Social;En gran parte;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
1160;6;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Regular;Regular;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Buena;Regular;Regular
1161;8;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;En gran parte;En cierta parte;En cierta parte;Nada;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Totalmente;SI;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;Totalmente;Algunas veces ;Buena;Buena;Buena;Excelente;Excelente
1162;5;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;En gran parte;SI;En gran parte;En cierta parte;En cierta parte;Nada;NO;Sin respuesta;SI;En cierta parte;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
1163;4;Popayan;Trabajo Social;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
1164;8;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Regular;NO;;Regular;SI;En cierta parte;En cierta parte;En cierta parte;SI;Nada;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Nunca;Regular;Regular;Regular;Regular;Regular
1165;2;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;Totalmente;En cierta parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
1166;8;Popayan;Trabajo Social;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;Totalmente;SI;En gran parte;Totalmente;Totalmente;Totalmente;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Totalmente;Casi siempre;Mala;Regular;Excelente;Buena;Excelente
1167;1;Popayan;Administracion de Empresas ;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;NO;Sin respuesta;Excelente;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;Totalmente;Totalmente;Totalmente;Algunas veces ;Excelente;Excelente;Excelente;Excelente;Excelente
1168;6;Popayan;Psicologia;En gran parte;SI;Totalmente;Totalmente;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;Totalmente;En gran parte;SI;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1169;6;Popayan;Psicologia;En gran parte;SI;En cierta parte;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;SI;En cierta parte;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;Totalmente;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;Nada;En cierta parte;En gran parte;Casi siempre;Buena;Regular;Regular;Regular;Regular
1170;2;Popayan;Psicologia;Totalmente;NO;Sin respuesta;Nada;En gran parte;En gran parte;NO;Sin respuesta;SI;En gran parte;En gran parte;Buena;SI;Buena;Excelente;SI;Totalmente;En gran parte;En gran parte;SI;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
1171;2;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;Totalmente;Totalmente;Totalmente;En gran parte;SI;Pagina web institucional;SI;Totalmente;En gran parte;Buena;SI;Excelente;Excelente;SI;Totalmente;Totalmente;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Siempre;Buena;Buena;Buena;Buena;Excelente
1172;2;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;En gran parte;SI;Otros;NO;Sin respuesta;En gran parte;Buena;SI;Excelente;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En cierta parte;En gran parte;Totalmente;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1173;3;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;SI;Pagina web institucional;SI;En cierta parte;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;Siempre;Buena;Buena;Buena;Buena;Buena
1174;9;Popayan;Contaduria Publica;En gran parte;SI;En gran parte;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1175;3;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;Totalmente;En gran parte;Totalmente;En cierta parte;SI;Difusion por parte de la Direccion del Programa;SI;Totalmente;Totalmente;Buena;SI;Excelente;Excelente;SI;Totalmente;En gran parte;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Totalmente;Totalmente;En gran parte;Algunas veces ;Buena;Buena;Buena;Excelente;Excelente
1176;2;Popayan;Psicologia;En cierta parte;SI;Totalmente;En gran parte;En gran parte;Totalmente;NO;Sin respuesta;SI;En gran parte;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;Totalmente;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;Algunas veces ;Excelente;Buena;Buena;Excelente;Excelente
1177;7;Popayan;Ingenieria de Sistemas;En cierta parte;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;NO;Sin respuesta;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Totalmente;Siempre;Buena;Buena;Regular;Buena;Buena
1178;2;Popayan;Trabajo Social;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En cierta parte;Totalmente;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;Totalmente;Totalmente;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
1179;8;Popayan;Licenciatura en Educacion Artistica y Cultural;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;En gran parte;En gran parte;Totalmente;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;Totalmente;En gran parte;En gran parte;Nada;En cierta parte;En gran parte;Casi siempre;Regular;Buena;Regular;Excelente;Excelente
1180;4;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;SI;En cierta parte;En gran parte;Buena;NO;Sin respuesta;Buena;NO;Sin respuesta;Totalmente;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
1181;4;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;En gran parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;Totalmente;Totalmente;En cierta parte;En gran parte;En cierta parte;En gran parte;Totalmente;Siempre;Excelente;Excelente;Buena;Buena;Buena
1182;4;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Excelente;Buena;Buena;Buena;Buena
1183;4;Norte - Santander de Q;Licenciatura en Educacion Artistica y Cultural;En gran parte;NO;Sin respuesta;Nada;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
